om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,fc
395,1956,7,24,1956-07-24,14:30:00,3,TX,48,38,1,0,0,3,0,32.580000,-97.270000,0,0,0.100000,10,1
394,1956,7,24,1956-07-24,14:30:00,3,TX,48,37,1,0,0,3,0,32.580000,-97.270000,0,0,0.500000,17,0
66,1957,4,2,1957-04-02,15:50:00,3,TX,48,25,0,0,0,3,0,32.970000,-97.050000,0,0,0.300000,67,0
94,1957,4,3,1957-04-03,10:45:00,3,TX,48,39,0,0,0,1,0,32.670000,-97.330000,0,0,0.100000,10,0
792,1957,11,17,1957-11-17,16:45:00,3,TX,48,145,2,2,0,3,0,32.720000,-97.370000,0,0,2,50,0
570,1959,10,3,1959-10-03,07:30:00,3,TX,48,77,1,0,0,3,0,32.730000,-97.230000,0,0,1,100,0
154,1960,5,4,1960-05-04,19:20:00,3,TX,48,19,3,12,0,5,0,32.800000,-97.430000,32.870000,-97.330000,7.400000,500,0
417,1963,9,7,1963-09-07,13:30:00,3,TX,48,72,2,0,0,4,0,32.830000,-97.100000,0,0,0.400000,50,0
640,1964,9,21,1964-09-21,10:56:00,3,TX,48,73,0,0,0,0,0,32.800000,-97.450000,0,0,0.100000,17,0
598,1965,6,23,1965-06-23,20:15:00,3,TX,48,81,2,0,0,4,0,32.620000,-97.530000,0,0,0.100000,17,0
115,1968,4,22,1968-04-22,11:08:00,3,TX,48,17,1,0,0,0,0,32.670000,-97.420000,0,0,0.300000,20,0
290,1968,6,3,1968-06-03,15:00:00,3,TX,48,67,0,0,0,1,0,32.750000,-97.420000,0,0,0.100000,17,0
584,1968,10,21,1968-10-21,18:30:00,3,TX,48,112,1,0,0,3,0,32.900000,-97.500000,0,0,1,17,0
638,1968,12,18,1968-12-18,11:15:00,3,TX,48,128,1,0,0,3,0,32.580000,-97.320000,0,0,0.100000,13,0
643,1968,12,27,1968-12-27,09:00:00,3,TX,48,134,1,0,0,0,0,32.770000,-97.420000,0,0,0.100000,17,0
81,1969,4,27,1969-04-27,05:00:00,3,TX,48,15,2,0,0,5,0,32.870000,-97.220000,0,0,0.100000,100,0
82,1970,4,18,1970-04-18,15:00:00,3,TX,48,14,2,0,0,5,0,32.800000,-97.470000,0,0,2,50,0
132,1970,4,25,1970-04-25,14:48:00,3,TX,48,26,1,0,0,3,0,32.800000,-97.300000,0,0,0.500000,27,0
525,1970,8,31,1970-08-31,22:00:00,3,TX,48,89,0,0,0,0,0,32.600000,-97.320000,0,0,0.100000,10,1
845,1971,12,12,1971-12-12,17:40:00,3,TX,48,170,1,2,0,0,0,32.800000,-97.430000,0,0,0.100000,17,0
849,1971,12,14,1971-12-14,17:30:00,3,TX,48,174,1,2,0,4,0,32.720000,-97.130000,0,0,0.200000,20,0
850,1971,12,14,1971-12-14,17:30:00,3,TX,48,175,1,4,0,6,0,32.730000,-97.180000,0,0,0.100000,17,0
851,1971,12,14,1971-12-14,17:30:00,3,TX,48,176,1,1,0,6,0,32.730000,-97.180000,0,0,0.100000,17,0
852,1971,12,14,1971-12-14,17:40:00,3,TX,48,177,1,2,0,5,0,32.550000,-97.130000,0,0,1,17,0
670,1972,9,26,1972-09-26,20:14:00,3,TX,48,127,1,1,0,5,0,32.870000,-97.370000,0,0,0.500000,440,0
679,1972,9,29,1972-09-29,14:45:00,3,TX,48,128,1,0,0,4,0,32.730000,-97.120000,0,0,0.100000,13,0
717,1972,11,12,1972-11-12,21:15:00,3,TX,48,138,1,5,0,5,0,32.700000,-97.120000,0,0,0.100000,77,0
46,1973,3,6,1973-03-06,06:25:00,3,TX,48,18,2,0,0,4,0,32.820000,-97.180000,0,0,1.500000,30,0
300,1973,5,6,1973-05-06,20:20:00,3,TX,48,76,2,0,0,5,0,32.750000,-97.120000,0,0,2.500000,150,0
360,1973,5,11,1973-05-11,19:29:00,3,TX,48,80,2,0,0,5,0,32.920000,-97.450000,32.800000,-97.420000,8.400000,200,0
677,1973,6,19,1973-06-19,18:30:00,3,TX,48,110,2,0,0,5,0,32.750000,-97.330000,0,0,0.300000,500,0
421,1974,5,14,1974-05-14,18:40:00,3,TX,48,40,2,0,0,2,0,32.700000,-97.500000,0,0,0.300000,100,0
379,1975,5,14,1975-05-14,12:20:00,3,TX,48,49,2,1,0,4,0,32.970000,-97.350000,0,0,0.500000,100,0
378,1975,5,13,1975-05-13,20:20:00,3,TX,48,48,1,0,0,3,0,32.830000,-97.080000,0,0,0.100000,10,0
456,1975,5,26,1975-05-26,22:40:00,3,TX,48,67,0,0,0,0,0,32.900000,-97.530000,0,0,0.100000,10,0
470,1975,5,29,1975-05-29,07:50:00,3,TX,48,76,1,0,0,0,0,32.880000,-97.180000,0,0,0.100000,10,0
288,1976,4,19,1976-04-19,13:20:00,3,TX,48,49,1,0,0,4,0,32.850000,-97.530000,0,0,1.200000,50,0
301,1976,4,19,1976-04-19,22:55:00,3,TX,48,58,2,0,0,0,0,32.620000,-97.280000,0,0,0.100000,10,0
435,1976,5,26,1976-05-26,15:35:00,3,TX,48,111,0,0,0,0,0,32.780000,-97.230000,0,0,0.100000,13,0
678,1976,7,4,1976-07-04,18:30:00,3,TX,48,146,0,0,0,0,0,32.900000,-97.080000,0,0,0.100000,10,0
681,1976,7,4,1976-07-04,20:12:00,3,TX,48,148,0,0,0,0,0,32.850000,-97.230000,0,0,0.100000,10,0
161,1978,5,2,1978-05-02,01:05:00,3,TX,48,35,0,0,0,0,0,32.820000,-97.150000,0,0,0.100000,10,0
216,1978,5,11,1978-05-11,17:00:00,3,TX,48,45,0,0,0,3,0,32.730000,-97.120000,0,0,0.100000,10,0
215,1979,5,3,1979-05-03,10:30:00,3,TX,48,67,1,0,0,0,0,32.580000,-97.120000,0,0,0.100000,50,0
212,1979,5,3,1979-05-03,09:28:00,3,TX,48,64,0,0,0,0,0,32.670000,-97.470000,0,0,0.100000,10,0
281,1979,5,21,1979-05-21,15:45:00,3,TX,48,88,1,0,0,0,0,32.880000,-97.350000,0,0,0.100000,20,0
282,1979,5,21,1979-05-21,15:50:00,3,TX,48,89,1,0,0,0,0,32.970000,-97.380000,0,0,0.100000,20,0
66,1980,4,2,1980-04-02,17:30:00,3,TX,48,18,0,0,0,0,0,32.700000,-97.350000,0,0,0.100000,10,0
756,1981,10,13,1981-10-13,13:30:00,3,TX,48,163,1,2,0,4,0,32.900000,-97.050000,0,0,1,100,0
230,1982,4,28,1982-04-28,17:00:00,3,TX,48,33,1,0,0,5,0,32.820000,-97.150000,0,0,0.100000,10,0
452,1983,6,3,1983-06-03,17:47:00,3,TX,48,104,0,0,0,1,0,32.670000,-97.420000,0,0,0.100000,17,0
54,1984,3,18,1984-03-18,17:13:00,3,TX,48,16,0,0,0,2,0,32.880000,-97.370000,0,0,1,30,0
472,1989,6,7,1989-06-07,15:00:00,3,TX,48,117,1,0,0,0,0,32.930000,-97.250000,0,0,0.200000,10,0
171,1990,4,5,1990-04-05,20:33:00,3,TX,48,24,2,0,0,6,0,32.750000,-97.350000,0,0,0.200000,10,0
1048,1993,9,13,1993-09-13,07:37:00,3,TX,48,77,2,5,0,6,0,32.730000,-97.120000,0,0,2,100,0
1049,1993,9,13,1993-09-13,08:00:00,3,TX,48,78,1,0,0,5,0,32.900000,-97.320000,32.970000,-97.320000,6,80,0
1047,1993,9,13,1993-09-13,07:10:00,3,TX,48,76,2,0,0,6,0,32.570000,-97.230000,32.700000,-97.180000,8,100,0
176,1994,4,25,1994-04-25,18:42:00,3,TX,48,12,0,0,0,0,0,32.770000,-97.300000,0,0,0.100000,10,0
1059,1994,11,20,1994-11-20,06:00:00,3,TX,48,187,0,0,0,5,0,32.750000,-97.350000,0,0,1.200000,200,0
163,1995,4,19,1995-04-19,19:40:00,3,TX,48,48,2,0,0,6,0,32.730000,-97.320000,32.800000,-97.330000,5,50,0
263,1995,5,7,1995-05-07,21:15:00,3,TX,48,77,1,4,0,6,0,32.830000,-97.250000,32.930000,-97.080000,10,300,0
47,1997,2,20,1997-02-20,12:00:00,3,TX,48,12,0,0,0,0,0,32.680000,-97.450000,32.680000,-97.450000,1,33,0
699,2000,3,28,2000-03-28,18:18:00,3,TX,48,44,3,80,2,0,0,32.750000,-97.350000,32.750000,-97.350000,4,250,0
524,2002,4,16,2002-04-16,16:42:00,3,TX,48,52,0,0,0,0.010000,0,32.630000,-97.280000,32.630000,-97.280000,1.600000,100,0
525,2002,4,16,2002-04-16,16:49:00,3,TX,48,53,0,0,0,0,0,32.750000,-97.350000,32.750000,-97.350000,0.600000,50,0
526,2002,4,16,2002-04-16,16:52:00,3,TX,48,54,0,0,0,0.010000,0,32.750000,-97.350000,32.750000,-97.350000,0.800000,70,0
527,2002,4,16,2002-04-16,16:59:00,3,TX,48,55,3,0,0,0.250000,0,32.750000,-97.350000,32.750000,-97.350000,2.100000,80,0
831,2003,4,5,2003-04-05,20:05:00,3,TX,48,12,0,0,0,0.020000,0,32.830000,-97.250000,32.830000,-97.250000,0.500000,100,0
33,2004,4,23,2004-04-23,19:18:00,3,TX,48,47,0,0,0,0,0,32.950000,-97.270000,32.950000,-97.270000,0.100000,20,0
1368,2004,6,1,2004-06-01,20:07:00,3,TX,48,81,0,0,0,0,0,32.730000,-97.120000,32.730000,-97.120000,0.100000,50,0
1369,2004,6,1,2004-06-01,20:12:00,3,TX,48,82,0,0,0,0,0,32.820000,-97.230000,32.820000,-97.230000,0.100000,50,0
690,2005,4,25,2005-04-25,15:14:00,3,TX,48,9,0,0,0,0,0,32.750000,-97.350000,32.750000,-97.350000,0.100000,15,0
692,2005,4,25,2005-04-25,15:30:00,3,TX,48,11,0,0,0,0,0,32.570000,-97.130000,32.570000,-97.130000,0.100000,15,0
249,2007,4,3,2007-04-03,19:20:00,3,TX,48,55,0,0,0,0.100000,0,32.700000,-97.120000,32.690000,-97.110000,1,20,0
269,2007,4,13,2007-04-13,16:55:00,3,TX,48,58,0,0,0,0.150000,0,32.680000,-97.460000,32.680000,-97.430000,1.500000,30,0
270,2007,4,13,2007-04-13,17:09:00,3,TX,48,59,1,0,1,2,0,32.770000,-97.330000,32.830000,-97.250000,6,125,0
311,2007,4,17,2007-04-17,17:30:00,3,TX,48,69,0,0,0,0.010000,0,32.970000,-97.330000,32.970000,-97.320000,1.100000,30,0
515,2008,4,23,2008-04-23,20:35:00,3,TX,48,0,2,0,0,1,0,32.560000,-97.410000,32.560000,-97.410000,0.310000,100,0
15,2009,2,10,2009-02-10,21:15:00,3,TX,48,0,1,0,0,0.750000,0,32.910000,-97.140000,32.910000,-97.130000,0.470000,100,0
1036,2010,9,7,2010-09-07,13:56:00,3,TX,48,90,0,0,0,0,0,32.630000,-97.470000,32.630000,-97.470000,0.100000,10,0
